Student_ID,Enrollment_Date,Region,City,Course_Name,Learning_Mode,Fees_Paid,Attendance_Percent,Course_Status,Placement_Status
48,29-06-2020,Central,Hyderabad,Python,Hybrid,127729.77,76,Ongoing,Not Placed
49,29-12-2020,South,Kolkata,Python,Online,182552,85,Ongoing,Not Placed
50,25-05-2022,South,Pune,Web Development,Online,76426.27,44,Ongoing,Not Placed
51,01-06-2023,West,Delhi,Python,Offline,193323.28,91,Dropped,Not Placed
52,05-04-2021,Central,Kolkata,AI/ML,Online,192522.41,93,Ongoing,Not Placed
53,21-01-2023,North,Bengaluru,AI/ML,Online,188901.32,73,Ongoing,Not Eligible
54,15-02-2023,North,Chennai,Python,Online,30449.37,42,Ongoing,Not Placed
55,23-03-2021,East,Kolkata,Data Science,Online,45999.17,62,Ongoing,Placed
56,14-07-2023,West,Mumbai,Python,Online,51274.23,57,Ongoing,Placed
57,05-11-2021,West,Hyderabad,Cloud Computing,Online,31322.31,99,Ongoing,Not Placed
58,31-05-2023,East,Kolkata,Data Science,Hybrid,165731.62,59,Ongoing,Not Placed
59,31-08-2020,North,Hyderabad,Cyber Security,Offline,183788.52,41,Completed,Not Placed
60,31-10-2020,Central,Hyderabad,AI/ML,Online,183419.71,73,Ongoing,Placed
61,20-01-2023,West,Kolkata,Data Science,Online,69133.25,58,Dropped,Not Eligible
62,16-02-2023,West,Mumbai,Cyber Security,Online,116899.91,54,Completed,Not Eligible
63,04-05-2022,North,Mumbai,Data Science,Offline,91579.74,94,Dropped,Not Eligible
64,19-12-2022,North,Ahmedabad,AI/ML,Online,176689.88,76,Dropped,Not Placed
65,16-12-2022,Central,Hyderabad,Python,Hybrid,218915.54,48,Completed,Not Placed
66,01-03-2022,East,Hyderabad,Data Science,Hybrid,176520,78,Ongoing,Not Placed
67,30-06-2020,West,Mumbai,Python,Hybrid,150650.95,81,Ongoing,Placed
68,12-10-2021,West,Pune,AI/ML,Online,125433.41,97,Ongoing,Not Eligible
69,05-03-2023,South,Chennai,Cloud Computing,Hybrid,159597.73,93,Ongoing,Not Placed
70,05-07-2023,South,Delhi,Data Science,Offline,194086.78,79,Ongoing,Not Placed
71,25-09-2020,South,Ahmedabad,Cyber Security,Hybrid,114218.01,80,Dropped,Not Eligible
72,15-10-2022,South,Hyderabad,Cyber Security,Online,74552.87,57,Completed,Not Placed
73,22-03-2022,East,Kolkata,Python,Offline,160099.95,44,Completed,Not Placed
74,26-07-2021,East,Ahmedabad,Python,Online,148432.19,58,Completed,Not Placed
75,28-12-2022,West,Kolkata,Cyber Security,Online,97540.92,55,Ongoing,Not Placed
76,18-05-2021,South,Delhi,AI/ML,Offline,53033,94,Dropped,Placed
77,12-02-2021,East,Hyderabad,Cyber Security,Offline,82362.41,98,Ongoing,Placed
78,26-01-2023,East,Chennai,Web Development,Online,106416.81,55,Ongoing,Not Placed
79,15-02-2023,North,Kolkata,AI/ML,Offline,80711.88,86,Ongoing,Not Placed
80,30-08-2021,Central,Delhi,AI/ML,Offline,65691.5,72,Completed,Not Placed
81,10-12-2020,Central,Chennai,Python,Hybrid,245641.66,92,Ongoing,Not Placed
82,07-09-2020,North,Delhi,Cyber Security,Hybrid,124575.48,44,Dropped,Not Placed
83,08-02-2023,West,Kolkata,Data Science,Online,211837.09,71,Ongoing,Placed
84,23-07-2022,North,Bengaluru,Python,Offline,25486.6,75,Ongoing,Not Placed
85,11-03-2021,East,Ahmedabad,Data Science,Hybrid,77818.08,68,Ongoing,Not Placed
86,15-08-2023,West,Delhi,Python,Offline,141883.46,49,Ongoing,Not Eligible
87,04-11-2021,South,Chennai,Web Development,Offline,68968.51,47,Dropped,Not Placed
88,29-04-2022,West,Hyderabad,AI/ML,Offline,59526.38,42,Completed,Not Placed
89,02-06-2020,South,Bengaluru,Cloud Computing,Online,159352.46,57,Ongoing,Not Placed
90,06-10-2022,North,Bengaluru,Web Development,Online,43751.4,42,Completed,Not Eligible
91,27-06-2021,North,Delhi,Web Development,Offline,141394.71,65,Completed,Not Placed
92,29-01-2021,Central,Hyderabad,Python,Offline,198352.85,51,Ongoing,Placed
93,12-12-2022,North,Bengaluru,Cloud Computing,Online,152337.21,71,Completed,Placed
94,12-06-2020,West,Pune,Python,Offline,126250.71,70,Ongoing,Not Placed
95,26-02-2023,North,Kolkata,Data Science,Hybrid,183033.69,43,Completed,Not Placed
96,29-10-2020,South,Pune,Python,Offline,211513.51,95,Dropped,Not Placed
97,17-02-2021,North,Mumbai,Python,Online,233750.06,66,Ongoing,Not Eligible
98,09-06-2023,West,Delhi,Web Development,Offline,119516.85,86,Ongoing,Not Eligible
99,28-06-2023,West,Hyderabad,AI/ML,Online,151994.92,80,Completed,Not Placed
100,01-05-2023,Central,Ahmedabad,Data Science,Online,170485.37,91,Ongoing,Not Placed
101,09-09-2021,North,Mumbai,Cyber Security,Offline,200693.01,80,Dropped,Not Placed
102,23-03-2023,West,Chennai,Web Development,Hybrid,161437.59,76,Completed,Placed
103,14-08-2022,Central,Ahmedabad,Data Science,Hybrid,233495.94,71,Ongoing,Not Placed
104,09-12-2021,South,Pune,Web Development,Online,134705.95,65,Completed,Not Placed
105,31-07-2022,Central,Chennai,AI/ML,Online,8999.55,66,Ongoing,Not Placed
106,15-08-2020,East,Bengaluru,Data Science,Offline,159281.44,57,Ongoing,Not Eligible
107,16-08-2022,East,Pune,Python,Hybrid,90673.52,94,Ongoing,Not Placed
108,14-02-2021,West,Pune,AI/ML,Hybrid,221354.15,42,Ongoing,Not Eligible
109,04-02-2021,West,Mumbai,Web Development,Online,111075.82,83,Ongoing,Not Placed
110,23-07-2022,East,Hyderabad,AI/ML,Offline,130773.16,40,Ongoing,Not Placed
111,24-02-2023,Central,Delhi,AI/ML,Offline,139720.4,65,Ongoing,Placed
112,11-05-2023,Central,Mumbai,AI/ML,Hybrid,30873.54,56,Ongoing,Placed
113,26-07-2020,North,Delhi,Cloud Computing,Online,187487.59,88,Completed,Placed
114,17-05-2022,South,Pune,Data Science,Hybrid,23698.31,93,Dropped,Not Eligible
115,18-09-2021,East,Hyderabad,Data Science,Online,150720.29,68,Completed,Not Placed
116,06-12-2020,North,Ahmedabad,Data Science,Hybrid,248464.97,70.10842186,Completed,Not Placed
117,29-03-2023,South,Chennai,Data Science,Hybrid,141041.44,59,Completed,Placed
118,01-09-2021,North,Kolkata,Cloud Computing,Hybrid,8764.73,95,Completed,Placed
119,08-07-2023,Central,Delhi,AI/ML,Online,172732.22,70,Ongoing,Not Placed
120,01-02-2023,South,Mumbai,Cloud Computing,Hybrid,247004.43,94,Ongoing,Not Placed
121,07-11-2020,West,Mumbai,AI/ML,Online,198208.61,59,Completed,Not Placed
122,18-07-2023,West,Pune,Python,Online,31790.23,41,Ongoing,Not Placed
123,24-02-2021,North,Chennai,Cloud Computing,Hybrid,15151.15,85,Dropped,Placed
124,19-02-2022,East,Hyderabad,Python,Online,212680.62,82,Ongoing,Not Placed
125,19-05-2021,Central,Pune,Data Science,Online,78613.36,83,Ongoing,Not Eligible
126,18-01-2023,Central,Mumbai,Cyber Security,Online,216152.15,82,Ongoing,Placed
127,17-06-2021,East,Ahmedabad,Cyber Security,Online,246457.28,63,Completed,Placed
128,30-01-2021,West,Hyderabad,Web Development,Online,199474.33,99,Completed,Not Eligible
129,24-05-2021,East,Pune,Data Science,Offline,79940.03,97,Completed,Not Eligible
130,10-09-2020,South,Mumbai,Python,Online,188437.72,69,Dropped,Not Placed
131,27-06-2020,North,Hyderabad,Data Science,Online,49405.26,90,Ongoing,Placed
132,28-09-2022,West,Pune,Web Development,Online,100834.77,71,Ongoing,Placed
133,02-06-2020,South,Ahmedabad,Cyber Security,Online,68361.25,42,Completed,Not Placed
134,26-10-2020,East,Bengaluru,AI/ML,Offline,132032.56,82,Dropped,Not Eligible
135,15-09-2021,West,Mumbai,Python,Offline,113428.52,74,Ongoing,Not Eligible
136,31-05-2021,South,Chennai,Web Development,Hybrid,11129.32,99,Dropped,Not Eligible
137,01-01-2022,South,Pune,Data Science,Offline,118235.99,74,Completed,Not Eligible
138,06-04-2022,East,Bengaluru,Data Science,Offline,139287.42,78,Completed,Placed
139,03-01-2022,South,Kolkata,AI/ML,Hybrid,15565.87,63,Dropped,Not Eligible
140,21-07-2020,South,Bengaluru,AI/ML,Online,117364.87,60,Ongoing,Placed
141,27-11-2021,West,Hyderabad,Data Science,Online,77855.99,66,Completed,Placed
142,19-01-2023,North,Mumbai,AI/ML,Hybrid,37512.15,62,Ongoing,Not Placed
143,22-04-2023,West,Pune,AI/ML,Online,24686.99,46,Dropped,Not Placed
144,22-09-2021,Central,Hyderabad,Python,Online,6051.91,45,Dropped,Not Placed
145,03-10-2020,East,Bengaluru,Python,Offline,123203.96,92,Ongoing,Placed
146,05-09-2022,Central,Kolkata,Cloud Computing,Offline,210714.94,70,Dropped,Not Eligible
147,30-11-2021,North,Delhi,Cyber Security,Online,10088.77,44,Completed,Placed
148,12-06-2022,South,Bengaluru,Cyber Security,Offline,202767.77,83,Ongoing,Placed
149,07-06-2022,East,Hyderabad,Web Development,Online,5557.81,97,Dropped,Not Placed
150,04-02-2022,South,Chennai,AI/ML,Online,144916.8,97,Ongoing,Placed
151,02-09-2022,South,Hyderabad,Cyber Security,Online,116371.5,73,Ongoing,Placed
152,06-06-2022,South,Mumbai,Python,Offline,141478.69,83,Completed,Not Placed
153,13-02-2021,East,Mumbai,Cloud Computing,Offline,241719.03,42,Ongoing,Placed
154,15-06-2021,South,Kolkata,Web Development,Online,12231.26,79,Ongoing,Not Placed
155,20-10-2021,West,Hyderabad,Cyber Security,Offline,197225.26,62,Dropped,Not Eligible
156,03-03-2023,South,Hyderabad,Python,Online,162724.2,41,Completed,Not Placed
157,14-07-2021,East,Ahmedabad,Data Science,Offline,241101,42,Completed,Placed
158,25-03-2022,West,Chennai,AI/ML,Online,239363.95,71,Ongoing,Placed
159,29-03-2022,East,Delhi,Data Science,Hybrid,115255.2,52,Dropped,Not Placed
160,11-07-2021,East,Hyderabad,Data Science,Online,215739.96,89,Ongoing,Not Placed
161,13-06-2021,Central,Bengaluru,Web Development,Online,41153.26,100,Ongoing,Not Eligible
162,08-01-2021,West,Ahmedabad,Web Development,Offline,189624.61,70,Ongoing,Not Placed
163,23-06-2022,East,Pune,Python,Hybrid,119089.58,90,Ongoing,Placed
164,03-10-2020,West,Mumbai,Python,Hybrid,132714.84,65,Completed,Placed
165,23-06-2020,South,Delhi,Data Science,Offline,125638.14,85,Completed,Not Placed
166,16-06-2023,South,Chennai,Data Science,Online,195424.11,85,Dropped,Placed
167,22-03-2022,East,Delhi,Cloud Computing,Offline,34759.46,80,Completed,Placed
168,14-06-2021,South,Bengaluru,Python,Offline,246245.41,92,Ongoing,Not Placed
169,22-02-2022,Central,Bengaluru,AI/ML,Offline,136591.48,76,Ongoing,Placed
170,22-04-2023,West,Pune,Cyber Security,Online,209761.66,54,Completed,Not Eligible
171,30-09-2021,West,Chennai,AI/ML,Offline,224229.57,65,Ongoing,Placed
172,30-09-2022,South,Ahmedabad,Data Science,Online,197513.04,92,Completed,Not Eligible
173,27-08-2023,North,Delhi,Python,Offline,172187.13,51,Ongoing,Placed
174,30-11-2020,Central,Pune,AI/ML,Online,45349.03,48,Ongoing,Not Placed
175,18-07-2023,Central,Kolkata,Python,Online,223296.09,92,Ongoing,Not Placed
176,17-05-2021,North,Bengaluru,Data Science,Online,90189.34,65,Completed,Placed
177,29-11-2020,North,Ahmedabad,Data Science,Online,247849.29,97,Completed,Placed
178,24-06-2020,East,Delhi,AI/ML,Online,236778.21,47,Ongoing,Not Eligible
179,23-06-2020,North,Pune,Data Science,Hybrid,194802.87,62,Ongoing,Not Eligible
180,14-12-2022,West,Kolkata,Web Development,Hybrid,98514.53,58,Ongoing,Placed
181,15-05-2021,Central,Hyderabad,AI/ML,Online,59941.81,92,Ongoing,Not Eligible
182,14-03-2021,East,Kolkata,AI/ML,Online,72327.48,71,Dropped,Not Placed
183,12-12-2022,West,Hyderabad,AI/ML,Online,78355.95,91,Completed,Not Placed
184,13-10-2022,North,Pune,Python,Hybrid,86330.06,70,Dropped,Placed
185,07-09-2021,South,Mumbai,Python,Online,185652.4,43,Dropped,Placed
186,29-06-2022,East,Kolkata,Python,Offline,221096.24,95,Ongoing,Not Placed
187,16-09-2020,Central,Pune,Data Science,Online,36594.29,89,Ongoing,Not Placed
188,05-07-2023,Central,Mumbai,Python,Online,141312.28,52,Dropped,Not Placed
189,29-12-2021,East,Bengaluru,Data Science,Offline,138794.69,95,Completed,Not Placed
190,13-04-2021,North,Pune,Python,Offline,183916.63,42,Completed,Not Placed
191,25-06-2023,East,Kolkata,Web Development,Offline,79007.85,56,Dropped,Not Placed
192,18-03-2022,West,Chennai,Cyber Security,Offline,40370.11,70.10842186,Dropped,Not Placed
193,09-06-2023,East,Hyderabad,Cyber Security,Hybrid,174699.55,64,Ongoing,Placed
194,21-07-2023,South,Mumbai,Web Development,Offline,226967.37,84,Completed,Not Placed
195,10-12-2021,West,Bengaluru,Data Science,Offline,92150.09,83,Ongoing,Not Eligible
196,26-02-2023,South,Kolkata,Python,Hybrid,185191.15,81,Ongoing,Not Eligible
197,08-07-2020,North,Bengaluru,AI/ML,Online,7595.71,48,Dropped,Placed
198,19-02-2021,East,Ahmedabad,Cyber Security,Offline,35451.08,68,Completed,Not Placed
199,13-11-2020,South,Hyderabad,Web Development,Online,231985.97,77,Completed,Not Eligible
200,01-09-2020,North,Chennai,Python,Online,78603.34,97,Dropped,Not Placed
201,30-03-2021,East,Chennai,Cyber Security,Hybrid,103179.31,57,Ongoing,Placed
202,19-11-2021,West,Hyderabad,Python,Offline,138680.92,74,Completed,Placed
203,28-09-2021,Central,Ahmedabad,Web Development,Online,186975.7,60,Dropped,Not Eligible
204,28-10-2022,South,Pune,Cyber Security,Hybrid,127545.18,42,Dropped,Not Eligible
205,15-11-2020,West,Bengaluru,Web Development,Hybrid,111761.46,67,Ongoing,Not Eligible
206,07-09-2022,North,Bengaluru,Data Science,Offline,147559.5,47,Dropped,Placed
207,03-11-2022,West,Ahmedabad,AI/ML,Online,201678.69,78,Completed,Placed
208,08-10-2020,Central,Hyderabad,AI/ML,Offline,38268.57,85,Dropped,Not Placed
209,26-04-2022,Central,Hyderabad,Cyber Security,Online,238358.2,83,Ongoing,Placed
210,25-03-2021,South,Mumbai,AI/ML,Offline,228099.64,67,Dropped,Placed
211,01-09-2021,Central,Chennai,Data Science,Hybrid,36326.22,81,Dropped,Not Eligible
212,04-09-2022,West,Hyderabad,Cloud Computing,Offline,76730.02,44,Ongoing,Placed
213,18-05-2023,Central,Delhi,Python,Online,65417.46,54,Ongoing,Not Placed
214,06-03-2022,West,Delhi,Data Science,Online,223763.81,71,Completed,Not Placed
215,08-03-2022,West,Bengaluru,Data Science,Offline,131879.25,57,Ongoing,Not Placed
216,31-10-2022,East,Pune,Python,Online,63307.59,96,Ongoing,Not Placed
217,12-10-2022,East,Pune,Cyber Security,Offline,173704.97,80,Dropped,Not Eligible
218,03-10-2020,Central,Pune,Web Development,Online,168217.24,64,Completed,Placed
219,20-06-2022,West,Mumbai,AI/ML,Online,67826.05,71,Ongoing,Not Placed
220,29-06-2022,West,Kolkata,Data Science,Hybrid,57631.44,71,Ongoing,Not Eligible
221,25-02-2022,West,Ahmedabad,Data Science,Online,116678.98,100,Ongoing,Not Eligible
222,31-12-2021,North,Pune,Web Development,Offline,243525.66,57,Dropped,Not Placed
223,24-05-2022,East,Chennai,AI/ML,Online,202736.77,56,Completed,Placed
224,19-04-2022,South,Delhi,Python,Hybrid,128195.4,75,Dropped,Not Placed
225,05-11-2022,East,Mumbai,AI/ML,Offline,190368.54,49,Dropped,Placed
226,05-12-2022,North,Bengaluru,Data Science,Offline,247227.32,79,Dropped,Placed
227,14-12-2021,South,Ahmedabad,AI/ML,Hybrid,223036.09,77,Completed,Placed
228,18-05-2022,Central,Kolkata,Cyber Security,Online,98314.75,41,Ongoing,Not Placed
229,14-02-2023,Central,Ahmedabad,Data Science,Offline,211024.03,49,Dropped,Not Eligible
230,18-01-2022,East,Kolkata,AI/ML,Hybrid,42960.57,71,Dropped,Not Placed
231,20-11-2022,East,Bengaluru,Python,Online,231162.89,45,Dropped,Not Placed
232,29-05-2021,West,Delhi,Data Science,Hybrid,100268.24,53,Dropped,Not Placed
233,23-03-2021,South,Bengaluru,Python,Hybrid,93538.79,99,Ongoing,Not Placed
234,04-08-2020,East,Chennai,Cloud Computing,Hybrid,161206.79,100,Dropped,Placed
235,04-09-2021,East,Bengaluru,Cyber Security,Online,153926.44,98,Ongoing,Not Eligible
236,05-04-2023,West,Mumbai,AI/ML,Online,30598.44,99,Ongoing,Not Placed
237,22-03-2023,Central,Hyderabad,Data Science,Online,180960.36,95,Ongoing,Not Placed
238,19-11-2021,North,Kolkata,Python,Offline,136940.89,70,Dropped,Not Placed
239,05-03-2022,Central,Kolkata,Data Science,Offline,170491.55,69,Ongoing,Placed
240,02-08-2021,South,Hyderabad,Web Development,Online,238107.54,88,Dropped,Placed
241,08-07-2023,North,Chennai,Web Development,Online,185650.29,77,Completed,Not Placed
242,28-08-2022,East,Delhi,Python,Online,75654.16,97,Ongoing,Placed
243,18-10-2022,East,Chennai,Data Science,Online,188842.3,73,Dropped,Not Eligible
244,10-11-2021,South,Hyderabad,Python,Hybrid,139279.05,80,Completed,Not Placed
245,22-03-2023,Central,Kolkata,Cyber Security,Online,66955.75,47,Ongoing,Not Eligible
246,09-01-2022,Central,Ahmedabad,Web Development,Offline,221746.03,84,Ongoing,Placed
247,06-08-2022,West,Ahmedabad,Data Science,Online,161439.59,43,Dropped,Not Eligible
248,22-09-2020,South,Delhi,Cyber Security,Online,88902.06,44,Ongoing,Placed
249,28-10-2020,North,Chennai,Cyber Security,Online,49425.54,44,Completed,Placed
250,24-06-2021,East,Pune,Python,Online,242657.04,82,Ongoing,Not Placed
251,28-11-2020,North,Bengaluru,Web Development,Hybrid,31725.62,65,Dropped,Not Placed
252,01-06-2020,East,Chennai,Python,Online,99293.48,46,Ongoing,Not Eligible
253,05-06-2020,South,Kolkata,Cyber Security,Hybrid,246309.83,87,Completed,Not Placed
254,05-10-2020,Central,Ahmedabad,Cloud Computing,Online,164911.13,66,Ongoing,Not Placed
255,27-10-2021,South,Chennai,Python,Online,153518.92,79,Ongoing,Not Eligible
256,19-07-2022,Central,Pune,Cyber Security,Online,11871.01,53,Completed,Not Eligible
257,22-05-2022,North,Ahmedabad,Cloud Computing,Online,57102.48,66,Ongoing,Placed
258,15-08-2021,South,Delhi,Cyber Security,Online,152438.4,86,Completed,Placed
259,18-03-2023,Central,Ahmedabad,Web Development,Online,43522.53,92,Ongoing,Not Placed
260,06-09-2020,West,Delhi,Cyber Security,Online,177208.06,60,Ongoing,Placed
261,28-07-2020,South,Bengaluru,Cyber Security,Online,168860.84,62,Completed,Not Eligible
262,07-06-2023,South,Chennai,Data Science,Offline,146468.27,81,Ongoing,Not Placed
263,11-11-2021,North,Mumbai,AI/ML,Offline,82781.76,72,Completed,Placed
264,05-02-2023,West,Mumbai,Web Development,Online,183145.21,68,Completed,Placed
265,21-04-2023,West,Hyderabad,Cyber Security,Offline,16468.29,89,Ongoing,Not Eligible
266,17-03-2022,East,Pune,Data Science,Online,62139.19,65,Ongoing,Not Placed
267,19-10-2022,North,Delhi,Python,Online,7306.14,60,Ongoing,Not Eligible
268,16-07-2021,South,Pune,Python,Online,36474.43,72,Ongoing,Placed
269,21-01-2022,East,Chennai,Web Development,Online,85068.16,79,Dropped,Not Placed
270,20-10-2021,East,Ahmedabad,AI/ML,Online,5140.64,61,Ongoing,Not Eligible
271,30-03-2021,West,Delhi,AI/ML,Online,28459.8,96,Ongoing,Placed
272,28-04-2022,West,Ahmedabad,Cyber Security,Offline,18769.68,96,Ongoing,Not Placed
273,03-09-2020,East,Mumbai,Data Science,Offline,120292.15,57,Completed,Placed
274,01-07-2021,Central,Pune,Cyber Security,Offline,32331.83,56,Ongoing,Placed
275,23-07-2020,East,Delhi,Data Science,Offline,141428.51,54,Completed,Not Placed
276,24-03-2021,Central,Delhi,Web Development,Hybrid,8719.26,53,Completed,Not Placed
277,21-04-2021,Central,Bengaluru,AI/ML,Hybrid,136965.05,64,Ongoing,Not Placed
278,05-08-2023,South,Hyderabad,AI/ML,Offline,114520.04,73,Completed,Not Placed
279,24-07-2021,South,Chennai,Python,Online,95712.93,51,Dropped,Not Placed
280,21-06-2022,West,Chennai,AI/ML,Offline,146862.75,85,Dropped,Placed
281,02-02-2022,North,Ahmedabad,Web Development,Hybrid,44967.75,60,Completed,Not Eligible
282,25-10-2022,East,Bengaluru,Python,Offline,147379.59,89,Ongoing,Not Placed
283,15-08-2023,Central,Chennai,Data Science,Hybrid,10864.3,65,Ongoing,Not Placed
284,04-03-2022,North,Chennai,AI/ML,Hybrid,31817.88,47,Ongoing,Not Eligible
285,16-03-2021,North,Ahmedabad,Cyber Security,Offline,167019.26,40,Completed,Placed
286,30-08-2021,West,Hyderabad,Cyber Security,Offline,6316.77,68,Dropped,Placed
287,12-04-2023,South,Ahmedabad,Data Science,Online,6376.1,67,Completed,Placed
288,21-04-2021,East,Chennai,Data Science,Offline,132264.75,42,Ongoing,Placed
289,03-09-2022,Central,Bengaluru,AI/ML,Online,53377.21,69,Completed,Not Placed
290,07-01-2023,Central,Kolkata,AI/ML,Offline,119998.11,83,Ongoing,Not Placed
291,18-01-2021,Central,Pune,Cloud Computing,Online,42404.74,44,Completed,Not Eligible
292,15-01-2021,Central,Hyderabad,Web Development,Online,144389.74,85,Ongoing,Not Placed
293,21-05-2023,Central,Ahmedabad,Data Science,Offline,111953.93,97,Dropped,Not Placed
294,02-04-2021,Central,Delhi,Python,Online,244648.27,77,Ongoing,Not Placed
295,21-12-2022,West,Kolkata,AI/ML,Online,75035.92,74,Ongoing,Not Eligible
296,25-10-2020,South,Ahmedabad,Python,Offline,75813.29,99,Dropped,Not Eligible
297,17-02-2022,South,Bengaluru,AI/ML,Online,45558.17,85,Ongoing,Not Eligible
298,28-02-2022,East,Delhi,Data Science,Hybrid,110083.37,72,Completed,Not Placed
299,10-03-2021,Central,Pune,Web Development,Online,158866.83,74,Ongoing,Placed
300,07-11-2021,West,Bengaluru,Python,Online,41602.63,51,Ongoing,Not Placed
301,13-08-2021,South,Chennai,Cloud Computing,Online,191345.71,89,Ongoing,Not Eligible
302,26-09-2022,West,Delhi,Data Science,Online,100850.92,50,Completed,Not Placed
303,29-07-2022,West,Bengaluru,Python,Online,29116.11,69,Ongoing,Not Placed
304,16-01-2021,West,Ahmedabad,Web Development,Offline,221195.15,53,Ongoing,Not Placed
305,20-06-2022,West,Pune,Python,Hybrid,8376.39,64,Completed,Not Eligible
306,11-06-2020,South,Hyderabad,Web Development,Online,18215.82,66,Ongoing,Not Placed
307,30-08-2021,North,Bengaluru,AI/ML,Online,67190.43,71,Ongoing,Placed
308,22-07-2022,South,Delhi,Python,Offline,18715.08,66,Ongoing,Placed
309,16-01-2023,North,Mumbai,Cloud Computing,Online,35339.48,73,Dropped,Not Eligible
310,02-01-2022,South,Ahmedabad,Data Science,Offline,91286.11,74,Ongoing,Placed
311,04-02-2023,West,Delhi,Web Development,Online,149247.94,44,Completed,Not Placed
312,25-03-2022,Central,Pune,Cyber Security,Online,242769.87,88,Ongoing,Not Placed
313,12-01-2023,Central,Mumbai,Cyber Security,Online,193980.01,44,Completed,Not Eligible
